,County,Total,"    Less than $10,000","    $10,000 to $14,999","    $15,000 to $24,999","    $25,000 to $34,999","    $35,000 to $49,999","    $50,000 to $74,999","    $75,000 to $99,999","    $100,000 to $149,999","    $150,000 to $199,999","    $200,000 or more",Median income (dollars),Mean income (dollars),    Household income in the past 12 months,    Family income in the past 12 months,    Nonfamily income in the past 12 months,Fiscal Year,Region,Type of Allegation,Allegation Count
2564,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2020.0,6-Houston,Physical Abuse,192.0
2565,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2020.0,6-Houston,Physical Neglect,91.0
2566,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2020.0,6-Houston,Refusal To Accept Parental Responsibility,10.0
2567,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2020.0,6-Houston,Sex Trafficking,1.0
2568,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2020.0,6-Houston,Sexual Abuse,179.0
2569,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2019.0,6-Houston,Abandonment,3.0
2570,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2019.0,6-Houston,Emotional Abuse,22.0
2571,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2019.0,6-Houston,Medical Neglect,45.0
2572,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2019.0,6-Houston,Neglectful Supervision,535.0
2573,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2019.0,6-Houston,Physical Abuse,199.0
2574,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2019.0,6-Houston,Physical Neglect,76.0
2575,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2019.0,6-Houston,Refusal To Accept Parental Responsibility,12.0
2576,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2019.0,6-Houston,Sexual Abuse,217.0
2577,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2018.0,6-Houston,Emotional Abuse,22.0
2578,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2018.0,6-Houston,Medical Neglect,60.0
2579,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2018.0,6-Houston,Neglectful Supervision,768.0
2580,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2018.0,6-Houston,Physical Abuse,273.0
2581,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2018.0,6-Houston,Physical Neglect,132.0
2582,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2018.0,6-Houston,Refusal To Accept Parental Responsibility,9.0
2583,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2018.0,6-Houston,Sex Trafficking,3.0
2584,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2018.0,6-Houston,Sexual Abuse,227.0
2585,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2017.0,6-Houston,Abandonment,3.0
2586,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2017.0,6-Houston,Emotional Abuse,37.0
2587,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2017.0,6-Houston,Medical Neglect,64.0
2588,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2017.0,6-Houston,Neglectful Supervision,820.0
2589,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2017.0,6-Houston,Physical Abuse,332.0
2590,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2017.0,6-Houston,Physical Neglect,206.0
2591,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2017.0,6-Houston,Refusal To Accept Parental Responsibility,11.0
2592,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2017.0,6-Houston,Sexual Abuse,279.0
2593,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2016.0,6-Houston,Abandonment,1.0
2594,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2016.0,6-Houston,Emotional Abuse,22.0
2595,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2016.0,6-Houston,Medical Neglect,64.0
2596,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2016.0,6-Houston,Neglectful Supervision,815.0
2597,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2016.0,6-Houston,Physical Abuse,342.0
2598,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2016.0,6-Houston,Physical Neglect,153.0
2599,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2016.0,6-Houston,Refusal To Accept Parental Responsibility,15.0
2600,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2016.0,6-Houston,Sexual Abuse,275.0
2601,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2015.0,6-Houston,Abandonment,4.0
2602,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2015.0,6-Houston,Emotional Abuse,42.0
2603,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2015.0,6-Houston,Medical Neglect,57.0
2604,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2015.0,6-Houston,Neglectful Supervision,752.0
2605,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2015.0,6-Houston,Physical Abuse,339.0
2606,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2015.0,6-Houston,Physical Neglect,178.0
2607,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2015.0,6-Houston,Refusal To Accept Parental Responsibility,12.0
2608,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2015.0,6-Houston,Sexual Abuse,204.0
2609,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2014.0,6-Houston,Abandonment,1.0
2610,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2014.0,6-Houston,Emotional Abuse,30.0
2611,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2014.0,6-Houston,Medical Neglect,56.0
2612,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2014.0,6-Houston,Neglectful Supervision,755.0
2613,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2014.0,6-Houston,Physical Abuse,299.0
2614,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2014.0,6-Houston,Physical Neglect,201.0
2615,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2014.0,6-Houston,Refusal To Accept Parental Responsibility,13.0
2616,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2014.0,6-Houston,Sexual Abuse,212.0
2617,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2013.0,6-Houston,Emotional Abuse,20.0
2618,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2013.0,6-Houston,Medical Neglect,63.0
2619,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2013.0,6-Houston,Neglectful Supervision,721.0
2620,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2013.0,6-Houston,Physical Abuse,295.0
2621,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2013.0,6-Houston,Physical Neglect,167.0
2622,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2013.0,6-Houston,Refusal To Accept Parental Responsibility,10.0
2623,Liberty,"32,223",9.5%,4.1%,8.0%,10.1%,10.8%,20.4%,8.1%,13.3%,8.3%,7.4%,"61,525","82,131",51.3%,(X),(X),2013.0,6-Houston,Sexual Abuse,169.0
2624,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2022.0,1-Lubbock,Abandonment,1.0
2625,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2022.0,1-Lubbock,Emotional Abuse,141.0
2626,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2022.0,1-Lubbock,Medical Neglect,201.0
2627,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2022.0,1-Lubbock,Neglectful Supervision,2499.0
2628,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2022.0,1-Lubbock,Physical Abuse,833.0
2629,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2022.0,1-Lubbock,Physical Neglect,351.0
2630,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2022.0,1-Lubbock,Refusal To Accept Parental Responsibility,23.0
2631,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2022.0,1-Lubbock,Sex Trafficking,3.0
2632,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2022.0,1-Lubbock,Sexual Abuse,850.0
2633,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2021.0,1-Lubbock,Abandonment,10.0
2634,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2021.0,1-Lubbock,Emotional Abuse,138.0
2635,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2021.0,1-Lubbock,Medical Neglect,167.0
2636,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2021.0,1-Lubbock,Neglectful Supervision,2667.0
2637,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2021.0,1-Lubbock,Physical Abuse,854.0
2638,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2021.0,1-Lubbock,Physical Neglect,332.0
2639,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2021.0,1-Lubbock,Refusal To Accept Parental Responsibility,35.0
2640,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2021.0,1-Lubbock,Sex Trafficking,8.0
2641,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2021.0,1-Lubbock,Sexual Abuse,735.0
2642,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2020.0,1-Lubbock,Abandonment,6.0
2643,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2020.0,1-Lubbock,Emotional Abuse,91.0
2644,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2020.0,1-Lubbock,Medical Neglect,135.0
2645,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2020.0,1-Lubbock,Neglectful Supervision,2706.0
2646,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2020.0,1-Lubbock,Physical Abuse,759.0
2647,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2020.0,1-Lubbock,Physical Neglect,362.0
2648,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2020.0,1-Lubbock,Refusal To Accept Parental Responsibility,30.0
2649,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2020.0,1-Lubbock,Sex Trafficking,10.0
2650,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2020.0,1-Lubbock,Sexual Abuse,645.0
2651,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2019.0,1-Lubbock,Abandonment,10.0
2652,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2019.0,1-Lubbock,Emotional Abuse,97.0
2653,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2019.0,1-Lubbock,Medical Neglect,165.0
2654,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2019.0,1-Lubbock,Neglectful Supervision,2705.0
2655,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2019.0,1-Lubbock,Physical Abuse,873.0
2656,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2019.0,1-Lubbock,Physical Neglect,429.0
2657,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2019.0,1-Lubbock,Refusal To Accept Parental Responsibility,31.0
2658,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2019.0,1-Lubbock,Sex Trafficking,5.0
2659,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2019.0,1-Lubbock,Sexual Abuse,734.0
2660,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2018.0,1-Lubbock,Abandonment,3.0
2661,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2018.0,1-Lubbock,Emotional Abuse,76.0
2662,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2018.0,1-Lubbock,Medical Neglect,154.0
2663,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2018.0,1-Lubbock,Neglectful Supervision,2691.0
2664,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2018.0,1-Lubbock,Physical Abuse,920.0
2665,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2018.0,1-Lubbock,Physical Neglect,424.0
2666,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2018.0,1-Lubbock,Refusal To Accept Parental Responsibility,30.0
2667,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2018.0,1-Lubbock,Sex Trafficking,7.0
2668,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2018.0,1-Lubbock,Sexual Abuse,658.0
2669,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2017.0,1-Lubbock,Abandonment,12.0
2670,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2017.0,1-Lubbock,Emotional Abuse,77.0
2671,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2017.0,1-Lubbock,Medical Neglect,180.0
2672,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2017.0,1-Lubbock,Neglectful Supervision,2895.0
2673,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2017.0,1-Lubbock,Physical Abuse,1041.0
2674,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2017.0,1-Lubbock,Physical Neglect,545.0
2675,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2017.0,1-Lubbock,Refusal To Accept Parental Responsibility,21.0
2676,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2017.0,1-Lubbock,Sex Trafficking,11.0
2677,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2017.0,1-Lubbock,Sexual Abuse,758.0
2678,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2016.0,1-Lubbock,Abandonment,6.0
2679,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2016.0,1-Lubbock,Emotional Abuse,66.0
2680,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2016.0,1-Lubbock,Medical Neglect,157.0
2681,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2016.0,1-Lubbock,Neglectful Supervision,2776.0
2682,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2016.0,1-Lubbock,Physical Abuse,1056.0
2683,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2016.0,1-Lubbock,Physical Neglect,549.0
2684,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2016.0,1-Lubbock,Refusal To Accept Parental Responsibility,27.0
2685,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2016.0,1-Lubbock,Sex Trafficking,2.0
2686,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2016.0,1-Lubbock,Sexual Abuse,722.0
2687,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2015.0,1-Lubbock,Abandonment,12.0
2688,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2015.0,1-Lubbock,Emotional Abuse,110.0
2689,Lubbock,"127,879",7.7%,5.2%,9.1%,9.0%,12.3%,15.4%,13.9%,13.6%,5.5%,8.3%,"59,161","85,996",46.9%,(X),(X),2015.0,1-Lubbock,Medical Neglect,211.0
